Station Id,Today Gen Power,Total Gen Power,Created At
90672,0,0,2020-12-15
106907,0,0,2020-12-15
84351,0,0,2020-12-15
108029,0,0,2020-12-15
82647,6.49,267.81,2020-12-15
75608,0,0,2020-12-15
84328,0,0,2020-12-15
82647,21.71,206.13,2020-12-11
82647,0,206.13,2020-12-12
82647,23.57,242.82,2020-12-13
82647,18.5,250.34,2020-12-14
106907,0,0,2020-12-16
82647,10.62,278.43,2020-12-16
108029,0,0,2020-12-16
90672,0,0,2020-12-16
84328,0,0,2020-12-16
84351,0,0,2020-12-16
75608,0,0,2020-12-16
106907,0,0,2020-12-17
75608,0,0,2020-12-17
84351,0,0,2020-12-17
108029,0,0,2020-12-17
90672,0,0,2020-12-17
82647,39.41,317.84,2020-12-17
84328,0,0,2020-12-17
108029,0,0,2020-12-18
75608,0,0,2020-12-18
82647,37.82,355.66,2020-12-18
84328,0,0,2020-12-18
90672,0,0,2020-12-18
106907,0,0,2020-12-18
84351,0,0,2020-12-18
108029,0,0,2020-12-19
90672,0,0,2020-12-19
82647,38.84,394.5,2020-12-19
84351,0,0,2020-12-19
84328,0,0,2020-12-19
106907,0,0,2020-12-19
75608,0,0,2020-12-19
108029,0,0,2020-12-20
84351,0,0,2020-12-20
106907,0,0,2020-12-20
84328,0,0,2020-12-20
90672,0,0,2020-12-20
75608,0,0,2020-12-20
82647,29.44,423.94,2020-12-20
84328,0,0,2020-12-21
84351,0,0,2020-12-21
108029,0,0,2020-12-21
90672,0,0,2020-12-21
75608,0,0,2020-12-21
106907,0,0,2020-12-21
82647,29.49,453.43,2020-12-21
84328,0,0,2020-12-22
90672,0,0,2020-12-22
106907,0,0,2020-12-22
108029,0,0,2020-12-22
75608,0,0,2020-12-22
84351,0,0,2020-12-22
82647,27.01,480.44,2020-12-22
90672,0,0,2020-12-23
84328,0,0,2020-12-23
84351,0,0,2020-12-23
82647,30.01,510.45,2020-12-23
106907,0,0,2020-12-23
75608,0,0,2020-12-23
108029,0,0,2020-12-23
82647,31.24,541.69,2020-12-24
84328,0,0,2020-12-24
106907,0,0,2020-12-24
84351,0,0,2020-12-24
108029,0,0,2020-12-24
75608,0,0,2020-12-24
90672,0,0,2020-12-24
75608,0,0,2020-12-25
84328,0,0,2020-12-25
108029,0,0,2020-12-25
84351,0,0,2020-12-25
106907,0,0,2020-12-25
82647,29.67,571.36,2020-12-25
90672,0,0,2020-12-25
84351,0,0,2020-12-26
108029,0,0,2020-12-26
84328,0,0,2020-12-26
106907,0,0,2020-12-26
82647,32.67,604.03,2020-12-26
75608,0,0,2020-12-26
90672,0,0,2020-12-26
106907,0,0,2020-12-27
84351,0,0,2020-12-27
75608,0,0,2020-12-27
108029,0,0,2020-12-27
84328,0,0,2020-12-27
82647,31.73,635.76,2020-12-27
90672,0,0,2020-12-27
90672,0,0,2020-12-28
75608,0,0,2020-12-28
108029,0,0,2020-12-28
84328,0,0,2020-12-28
106907,0,0,2020-12-28
82647,26.78,662.54,2020-12-28
84351,0,0,2020-12-28
84328,0,0,2020-12-29
75608,0,0,2020-12-29
84351,0,0,2020-12-29
90672,0,0,2020-12-29
106907,0,0,2020-12-29
108029,0,0,2020-12-29
82647,23.33,685.87,2020-12-29
90672,0,0,2020-12-30
106907,0,0,2020-12-30
84351,0,0,2020-12-30
75608,0,0,2020-12-30
108029,0,0,2020-12-30
82647,21.69,707.56,2020-12-30
84328,0,0,2020-12-30
75608,0,0,2020-12-31
90672,0,0,2020-12-31
84351,0,0,2020-12-31
84328,0,0,2020-12-31
106907,0,0,2020-12-31
82647,24.58,732.14,2020-12-31
108029,0,0,2020-12-31
75608,0,0,2021-01-01
84351,0,0,2021-01-01
84328,0,0,2021-01-01
108029,0,0,2021-01-01
90672,0,0,2021-01-01
106907,0,0,2021-01-01
82647,26.72,758.86,2021-01-01
75608,0,0,2021-01-02
90672,0,0,2021-01-02
84328,0,0,2021-01-02
108029,0,0,2021-01-02
84351,0,0,2021-01-02
106907,0,0,2021-01-02
82647,26.96,763.43,2021-01-02
75608,0,0,2021-01-03
90672,0,0,2021-01-03
84351,0,0,2021-01-03
84328,0,0,2021-01-03
106907,0,0,2021-01-03
108029,0,0,2021-01-03
82647,22.3,765.62,2021-01-03
108029,0,0,2021-01-04
106907,0,0,2021-01-04
84328,0,0,2021-01-04
75608,0,0,2021-01-04
90672,0,0,2021-01-04
84351,0,0,2021-01-04
82647,25.48,768.81,2021-01-04
106907,0,0,2021-01-05
84328,0,0,2021-01-05
84351,0,0,2021-01-05
108029,0,0,2021-01-05
90672,0,0,2021-01-05
82647,8.43,751.25,2021-01-05
75608,0,0,2021-01-05
84351,0,0,2021-01-06
108029,0,0,2021-01-06
75608,0,0,2021-01-06
90672,0,0,2021-01-06
84328,0,0,2021-01-06
106907,0,0,2021-01-06
82647,22.45,745.12,2021-01-06
84351,0,0,2021-01-07
108029,0,0,2021-01-07
84328,0,0,2021-01-07
75608,0,0,2021-01-07
90672,0,0,2021-01-07
106907,0,0,2021-01-07
82647,31.26,757.16,2021-01-07
90672,0,0,2021-01-08
108029,0,0,2021-01-08
84328,0,0,2021-01-08
106907,0,0,2021-01-08
84351,0,0,2021-01-08
75608,0,0,2021-01-08
82647,26.84,757.48,2021-01-08
